,dataset,method,replicate,cd,acc,times,memgb,n,k,height,speciation,gtee,ad,gtype
0,ASTRAL-II,QR,0,26,0,386.81,0.479212,201,1000,10000000,1e-07,0,0.08695959595959733,est
1,ASTRAL-II,QR,1,0,1,413.82,0.480596,201,1000,10000000,1e-07,0,0.06779797979798077,est
2,ASTRAL-II,QR,2,0,1,398.26,0.479208,201,1000,10000000,1e-07,0,0.1090000000000017,est
3,ASTRAL-II,QR,3,2,0,401.76,0.479576,201,1000,10000000,1e-07,0,0.09777272727272877,est
4,ASTRAL-II,QR,4,0,1,219.52,0.478528,201,1000,10000000,1e-07,0,0.09628787878788038,est
5,ASTRAL-II,QR,5,0,1,319.69,0.480672,201,1000,10000000,1e-07,0,0.1046010101010118,est
6,ASTRAL-II,QR,6,16,0,393.61,0.479336,201,1000,10000000,1e-07,0,0.09244949494949645,est
7,ASTRAL-II,QR,7,18,0,410.4,0.478244,201,1000,10000000,1e-07,0,0.09362626262626417,est
8,ASTRAL-II,QR,8,2,0,381.71,0.477676,201,1000,10000000,1e-07,0,0.09461111111111264,est
9,ASTRAL-II,QR,9,20,0,348.03,0.478908,201,1000,10000000,1e-07,0,0.10292424242424404,est
10,ASTRAL-II,QR,10,22,0,382.09,0.477932,201,1000,10000000,1e-07,0,0.0849747474747488,est
11,ASTRAL-II,QR,11,0,1,390.03,0.479368,201,1000,10000000,1e-07,0,0.096924242424244,est
12,ASTRAL-II,QR,12,2,0,394.52,0.479004,201,1000,10000000,1e-07,0,0.1074393939393956,est
13,ASTRAL-II,QR,13,0,1,389.83,0.480372,201,1000,10000000,1e-07,0,0.07897979797979918,est
14,ASTRAL-II,QR,14,4,0,347.3,0.483832,201,1000,10000000,1e-07,0,0.09621212121212278,est
15,ASTRAL-II,QR,15,8,0,363.31,0.480084,201,1000,10000000,1e-07,0,0.09226767676767822,est
16,ASTRAL-II,QR,16,10,0,344.8,0.479448,201,1000,10000000,1e-07,0,0.06140909090909178,est
17,ASTRAL-II,QR,17,16,0,354.35,0.47906,201,1000,10000000,1e-07,0,0.08490404040404173,est
18,ASTRAL-II,QR,18,2,0,386.2,0.479764,201,1000,10000000,1e-07,0,0.0892676767676782,est
19,ASTRAL-II,QR,19,0,1,320.71,0.479396,201,1000,10000000,1e-07,0,0.100454545454547,est
20,ASTRAL-II,QR,20,22,0,275.15,0.479824,201,1000,10000000,1e-07,0,0.08633838383838514,est
21,ASTRAL-II,QR,21,22,0,285.25,0.479284,201,1000,10000000,1e-07,0,0.07202525252525355,est
22,ASTRAL-II,QR,22,24,0,296.61,0.480784,201,1000,10000000,1e-07,0,0.08558585858585994,est
23,ASTRAL-II,QR,23,8,0,235.11,0.480496,201,1000,10000000,1e-07,0,0.09941919191919348,est
24,ASTRAL-II,QR,24,28,0,261.31,0.4787,201,1000,10000000,1e-07,0,0.08645959595959732,est
25,ASTRAL-II,QR,25,16,0,253.91,0.47912,201,1000,10000000,1e-07,0,0.08389898989899118,est
26,ASTRAL-II,QR,26,0,1,231.4,0.481556,201,1000,10000000,1e-07,0,0.09229797979798132,est
27,ASTRAL-II,QR,27,24,0,263.35,0.480024,201,1000,10000000,1e-07,0,0.0870303030303044,est
28,ASTRAL-II,QR,28,0,1,278.87,0.47928,201,1000,10000000,1e-07,0,0.09057575757575904,est
29,ASTRAL-II,QR,29,0,1,245.61,0.480324,201,1000,10000000,1e-07,0,0.0844040404040417,est
30,ASTRAL-II,QR,30,20,0,240.91,0.480756,201,1000,10000000,1e-07,0,0.09722222222222382,est
31,ASTRAL-II,QR,31,0,1,250.44,0.479616,201,1000,10000000,1e-07,0,0.07469696969697079,est
32,ASTRAL-II,QR,32,22,0,286.95,0.479496,201,1000,10000000,1e-07,0,0.10569696969697141,est
33,ASTRAL-II,QR,33,22,0,201.89,0.482124,201,1000,10000000,1e-07,0,0.09366161616161764,est
34,ASTRAL-II,QR,34,0,1,228.71,0.480276,201,1000,10000000,1e-07,0,0.09144949494949643,est
35,ASTRAL-II,QR,35,0,1,241.76,0.48178,201,1000,10000000,1e-07,0,0.098803030303032,est
36,ASTRAL-II,QR,36,18,0,268.72,0.48016,201,1000,10000000,1e-07,0,0.08928787878788023,est
37,ASTRAL-II,QR,37,0,1,239.03,0.480548,201,1000,10000000,1e-07,0,0.08079292929293051,est
38,ASTRAL-II,QR,38,0,1,239.63,0.479792,201,1000,10000000,1e-07,0,0.09467171717171874,est
39,ASTRAL-II,QR,39,2,0,243.88,0.478776,201,1000,10000000,1e-07,0,0.06818686868686968,est
40,ASTRAL-II,QR,40,0,1,354.64,0.480912,201,1000,10000000,1e-07,0,0.09101010101010246,est
41,ASTRAL-II,QR,41,0,1,768.05,0.479316,201,1000,10000000,1e-07,0,0.07882828282828405,est
42,ASTRAL-II,QR,42,0,1,180.64,0.480892,201,1000,10000000,1e-07,0,0.0873383838383852,est
43,ASTRAL-II,QR,43,0,1,203.48,0.478512,201,1000,10000000,1e-07,0,0.0917929292929308,est
44,ASTRAL-II,QR,44,10,0,300.81,0.48026,201,1000,10000000,1e-07,0,0.08501515151515283,est
45,ASTRAL-II,QR,45,14,0,231.11,0.478992,201,1000,10000000,1e-07,0,0.07796969696969812,est
46,ASTRAL-II,QR,46,2,0,260.1,0.479424,201,1000,10000000,1e-07,0,0.08869696969697113,est
47,ASTRAL-II,QR,47,20,0,285.76,0.48098,201,1000,10000000,1e-07,0,0.09960606060606221,est
48,ASTRAL-II,QR,48,22,0,253.77,0.479776,201,1000,10000000,1e-07,0,0.09040909090909233,est
49,ASTRAL-II,QR,49,0,1,239.55,0.47842,201,1000,10000000,1e-07,0,0.07918686868686987,est
50,ASTRAL-II,QR*,0,18,0,274.59000000000003,0.48018,201,1000,10000000,1e-07,0,0.08695959595959733,est
51,ASTRAL-II,QR*,1,24,0,298.79,0.481684,201,1000,10000000,1e-07,0,0.06779797979798077,est
52,ASTRAL-II,QR*,2,0,1,279.53,0.478268,201,1000,10000000,1e-07,0,0.1090000000000017,est
53,ASTRAL-II,QR*,3,2,0,290.97,0.481156,201,1000,10000000,1e-07,0,0.09777272727272877,est
