,dataset,method,replicate,cd,acc,times,memgb,n,k,height,speciation,gtee,ad,gtype
0,ASTRAL-II,QR,0,8,0,1.96,0.048836,11,1000,2000000,1e-06,0.172,0.183,est
1,ASTRAL-II,QR,1,4,0,2.01,0.049676,11,1000,2000000,1e-06,0.07575,0.158375,est
2,ASTRAL-II,QR,2,0,1,11.08,0.0474,11,1000,2000000,1e-06,0.11475,0.212625,est
3,ASTRAL-II,QR,3,8,0,1.94,0.048228,11,1000,2000000,1e-06,0.2881095238095233,0.151,est
4,ASTRAL-II,QR,4,8,0,2.02,0.049496,11,1000,2000000,1e-06,0.19815934065934043,0.161625,est
5,ASTRAL-II,QR,5,6,0,1.97,0.048464,11,1000,2000000,1e-06,0.12925,0.180375,est
6,ASTRAL-II,QR,6,8,0,2.06,0.048936,11,1000,2000000,1e-06,0.3922227522477513,0.107375,est
7,ASTRAL-II,QR,7,4,0,1.93,0.048088,11,1000,2000000,1e-06,0.0775,0.243875,est
8,ASTRAL-II,QR,8,6,0,1.96,0.050712,11,1000,2000000,1e-06,0.1255,0.164625,est
9,ASTRAL-II,QR,9,10,0,1.98,0.049728,11,1000,2000000,1e-06,0.22516217948717948,0.27825,est
10,ASTRAL-II,QR,10,10,0,2.0,0.0481,11,1000,2000000,1e-06,0.2679089743589743,0.24025,est
11,ASTRAL-II,QR,11,2,0,2.02,0.04958,11,1000,2000000,1e-06,0.070875,0.17625,est
12,ASTRAL-II,QR,12,4,0,2.05,0.048392,11,1000,2000000,1e-06,0.150125,0.27525,est
13,ASTRAL-II,QR,13,4,0,2.08,0.049128,11,1000,2000000,1e-06,0.23647184482184483,0.215875,est
14,ASTRAL-II,QR,14,4,0,2.08,0.048908,11,1000,2000000,1e-06,0.20087500000000003,0.09225,est
15,ASTRAL-II,QR,15,6,0,2.16,0.048868,11,1000,2000000,1e-06,0.27075,0.137125,est
16,ASTRAL-II,QR,16,6,0,2.09,0.048588,11,1000,2000000,1e-06,0.3478017094017093,0.195,est
17,ASTRAL-II,QR,17,8,0,2.43,0.047356,11,1000,2000000,1e-06,0.153125,0.139625,est
18,ASTRAL-II,QR,18,8,0,1.58,0.048764,11,1000,2000000,1e-06,0.20442500000000002,0.131375,est
19,ASTRAL-II,QR,19,10,0,1.77,0.050408,11,1000,2000000,1e-06,0.2763665834165834,0.263,est
20,ASTRAL-II,QR,20,12,0,2.05,0.047792,11,1000,2000000,1e-06,0.228875,0.20825,est
21,ASTRAL-II,QR,21,2,0,1.96,0.04766,11,1000,2000000,1e-06,0.158625,0.126,est
22,ASTRAL-II,QR,22,6,0,1.94,0.051444,11,1000,2000000,1e-06,0.22096666666666667,0.126125,est
23,ASTRAL-II,QR,23,2,0,1.94,0.049636,11,1000,2000000,1e-06,0.5730173576423575,0.23925,est
24,ASTRAL-II,QR,24,8,0,2.01,0.049524,11,1000,2000000,1e-06,0.19075,0.18175,est
25,ASTRAL-II,QR,25,8,0,1.92,0.048568,11,1000,2000000,1e-06,0.18445833333333334,0.179625,est
26,ASTRAL-II,QR,26,10,0,1.99,0.04852,11,1000,2000000,1e-06,0.127625,0.123875,est
27,ASTRAL-II,QR,27,10,0,1.88,0.048544,11,1000,2000000,1e-06,0.084875,0.120375,est
28,ASTRAL-II,QR,28,8,0,1.87,0.047872,11,1000,2000000,1e-06,0.3486511238761234,0.0835,est
29,ASTRAL-II,QR,29,6,0,1.93,0.052152,11,1000,2000000,1e-06,0.20425,0.15625,est
30,ASTRAL-II,QR,30,8,0,1.94,0.048964,11,1000,2000000,1e-06,0.35647753080253086,0.21575,est
31,ASTRAL-II,QR,31,10,0,1.73,0.04836,11,1000,2000000,1e-06,0.27555660173160174,0.14475,est
32,ASTRAL-II,QR,32,8,0,1.91,0.049052,11,1000,2000000,1e-06,0.141,0.0985,est
33,ASTRAL-II,QR,33,0,1,1.75,0.047304,11,1000,2000000,1e-06,0.11275,0.12125,est
34,ASTRAL-II,QR,34,8,0,1.99,0.048948,11,1000,2000000,1e-06,0.06165961538461539,0.108625,est
35,ASTRAL-II,QR,35,8,0,1.92,0.050932,11,1000,2000000,1e-06,0.087,0.061,est
36,ASTRAL-II,QR,36,4,0,1.89,0.049024,11,1000,2000000,1e-06,0.3995916666666667,0.13725,est
37,ASTRAL-II,QR,37,8,0,2.77,0.047144,11,1000,2000000,1e-06,0.185375,0.27375,est
