,dataset,method,replicate,cd,acc,times,memgb,n,k,height,speciation,gtee,ad,gtype
0,ASTRAL-II,QR,0,6,0,2.09,0.049296,11,1000,2000000,1e-06,0.172,0.183,est
1,ASTRAL-II,QR,1,2,0,1.97,0.049692,11,1000,2000000,1e-06,0.07575,0.158375,est
2,ASTRAL-II,QR,2,2,0,2.18,0.048364,11,1000,2000000,1e-06,0.11475,0.212625,est
3,ASTRAL-II,QR,3,8,0,11.05,0.050412,11,1000,2000000,1e-06,0.2881095238095233,0.151,est
4,ASTRAL-II,QR,4,8,0,11.02,0.049104,11,1000,2000000,1e-06,0.19815934065934043,0.161625,est
5,ASTRAL-II,QR,5,6,0,11.02,0.051232,11,1000,2000000,1e-06,0.12925,0.180375,est
6,ASTRAL-II,QR,6,8,0,10.8,0.0483,11,1000,2000000,1e-06,0.3922227522477513,0.107375,est
7,ASTRAL-II,QR,7,4,0,1.85,0.048872,11,1000,2000000,1e-06,0.0775,0.243875,est
8,ASTRAL-II,QR,8,6,0,11.24,0.050564,11,1000,2000000,1e-06,0.1255,0.164625,est
9,ASTRAL-II,QR,9,12,0,9.38,0.049108,11,1000,2000000,1e-06,0.22516217948717948,0.27825,est
10,ASTRAL-II,QR,10,2,0,10.96,0.053776,11,1000,2000000,1e-06,0.2679089743589743,0.24025,est
11,ASTRAL-II,QR,11,2,0,1.77,0.050864,11,1000,2000000,1e-06,0.070875,0.17625,est
12,ASTRAL-II,QR,12,4,0,1.74,0.053104,11,1000,2000000,1e-06,0.150125,0.27525,est
13,ASTRAL-II,QR,13,8,0,2.0,0.04874,11,1000,2000000,1e-06,0.23647184482184483,0.215875,est
14,ASTRAL-II,QR,14,8,0,1.95,0.049144,11,1000,2000000,1e-06,0.20087500000000003,0.09225,est
15,ASTRAL-II,QR,15,10,0,1.94,0.049748,11,1000,2000000,1e-06,0.27075,0.137125,est
16,ASTRAL-II,QR,16,6,0,2.25,0.048312,11,1000,2000000,1e-06,0.3478017094017093,0.195,est
17,ASTRAL-II,QR,17,8,0,1.98,0.048712,11,1000,2000000,1e-06,0.153125,0.139625,est
18,ASTRAL-II,QR,18,8,0,1.98,0.053128,11,1000,2000000,1e-06,0.20442500000000002,0.131375,est
19,ASTRAL-II,QR,19,6,0,1.95,0.050296,11,1000,2000000,1e-06,0.2763665834165834,0.263,est
20,ASTRAL-II,QR,20,10,0,2.19,0.0503,11,1000,2000000,1e-06,0.228875,0.20825,est
21,ASTRAL-II,QR,21,10,0,2.19,0.048736,11,1000,2000000,1e-06,0.158625,0.126,est
22,ASTRAL-II,QR,22,8,0,2.13,0.048232,11,1000,2000000,1e-06,0.22096666666666667,0.126125,est
23,ASTRAL-II,QR,23,0,1,2.16,0.048,11,1000,2000000,1e-06,0.5730173576423575,0.23925,est
24,ASTRAL-II,QR,24,4,0,11.15,0.049164,11,1000,2000000,1e-06,0.19075,0.18175,est
25,ASTRAL-II,QR,25,8,0,11.26,0.048944,11,1000,2000000,1e-06,0.18445833333333334,0.179625,est
26,ASTRAL-II,QR,26,4,0,1.98,0.048836,11,1000,2000000,1e-06,0.127625,0.123875,est
27,ASTRAL-II,QR,27,0,1,1.96,0.049064,11,1000,2000000,1e-06,0.084875,0.120375,est
28,ASTRAL-II,QR,28,8,0,1.92,0.049508,11,1000,2000000,1e-06,0.3486511238761234,0.0835,est
29,ASTRAL-II,QR,29,4,0,2.07,0.049852,11,1000,2000000,1e-06,0.20425,0.15625,est
30,ASTRAL-II,QR,30,8,0,1.98,0.048572,11,1000,2000000,1e-06,0.35647753080253086,0.21575,est
31,ASTRAL-II,QR,31,10,0,2.19,0.049632,11,1000,2000000,1e-06,0.27555660173160174,0.14475,est
32,ASTRAL-II,QR,32,8,0,1.83,0.05172,11,1000,2000000,1e-06,0.141,0.0985,est
33,ASTRAL-II,QR,33,2,0,1.84,0.050832,11,1000,2000000,1e-06,0.11275,0.12125,est
34,ASTRAL-II,QR,34,8,0,2.12,0.049352,11,1000,2000000,1e-06,0.06165961538461539,0.108625,est
35,ASTRAL-II,QR,35,8,0,1.95,0.050024,11,1000,2000000,1e-06,0.087,0.061,est
36,ASTRAL-II,QR,36,4,0,1.96,0.049012,11,1000,2000000,1e-06,0.3995916666666667,0.13725,est
37,ASTRAL-II,QR,37,6,0,1.85,0.048688,11,1000,2000000,1e-06,0.185375,0.27375,est
38,ASTRAL-II,QR,38,4,0,1.79,0.049516,11,1000,2000000,1e-06,0.12733846153846154,0.22675,est
39,ASTRAL-II,QR,39,6,0,2.2,0.049696,11,1000,2000000,1e-06,0.103125,0.189625,est
40,ASTRAL-II,QR,40,0,1,2.54,0.049724,11,1000,2000000,1e-06,0.8335794094794119,0.249625,est
41,ASTRAL-II,QR,41,6,0,12.82,0.055936,11,1000,2000000,1e-06,0.225375,0.133,est
42,ASTRAL-II,QR,42,0,1,1.91,0.049964,11,1000,2000000,1e-06,0.12460750915750914,0.151375,est
43,ASTRAL-II,QR,43,6,0,11.16,0.049544,11,1000,2000000,1e-06,0.22759069541569538,0.179625,est
44,ASTRAL-II,QR,44,2,0,2.0,0.049296,11,1000,2000000,1e-06,0.07877142857142858,0.200875,est
45,ASTRAL-II,QR,45,10,0,12.78,0.050268,11,1000,2000000,1e-06,0.213875,0.158,est
46,ASTRAL-II,QR,46,10,0,11.2,0.054488,11,1000,2000000,1e-06,0.18825574425574418,0.1885,est
47,ASTRAL-II,QR,47,6,0,11.42,0.05018,11,1000,2000000,1e-06,0.13025,0.150125,est
48,ASTRAL-II,QR,48,8,0,1.91,0.04922,11,1000,2000000,1e-06,0.269625,0.294,est
49,ASTRAL-II,QR,49,8,0,1.98,0.049216,11,1000,2000000,1e-06,0.27881666666666666,0.097125,est
50,ASTRAL-II,QR*,0,4,0,2.13,0.056944,11,1000,2000000,1e-06,0.172,0.183,est
51,ASTRAL-II,QR*,1,4,0,2.16,0.048864,11,1000,2000000,1e-06,0.07575,0.158375,est
52,ASTRAL-II,QR*,2,6,0,2.2,0.05074,11,1000,2000000,1e-06,0.11475,0.212625,est
53,ASTRAL-II,QR*,3,6,0,2.14,0.053928,11,1000,2000000,1e-06,0.2881095238095233,0.151,est
54,ASTRAL-II,QR*,4,6,0,2.24,0.0495,11,1000,2000000,1e-06,0.19815934065934043,0.161625,est
55,ASTRAL-II,QR*,5,6,0,2.12,0.051248,11,1000,2000000,1e-06,0.12925,0.180375,est
56,ASTRAL-II,QR*,6,4,0,2.04,0.052688,11,1000,2000000,1e-06,0.3922227522477513,0.107375,est
57,ASTRAL-II,QR*,7,0,1,1.93,0.05022,11,1000,2000000,1e-06,0.0775,0.243875,est
58,ASTRAL-II,QR*,8,4,0,2.18,0.04876,11,1000,2000000,1e-06,0.1255,0.164625,est
