,dataset,method,replicate,cd,acc,times,memgb,n,k,height,speciation,gtee,ad,gtype
0,ASTRAL-II,QR,0,0,1,11.52,0.049976,11,1000,2000000,1e-06,0,0.183,est
1,ASTRAL-II,QR,1,6,0,13.37,0.048392,11,1000,2000000,1e-06,0,0.158375,est
2,ASTRAL-II,QR,2,0,1,2.08,0.049692,11,1000,2000000,1e-06,0,0.212625,est
3,ASTRAL-II,QR,3,0,1,1.98,0.047756,11,1000,2000000,1e-06,0,0.151,est
4,ASTRAL-II,QR,4,6,0,2.01,0.048228,11,1000,2000000,1e-06,0,0.161625,est
5,ASTRAL-II,QR,5,6,0,2.11,0.047368,11,1000,2000000,1e-06,0,0.180375,est
6,ASTRAL-II,QR,6,8,0,1.97,0.052284,11,1000,2000000,1e-06,0,0.107375,est
7,ASTRAL-II,QR,7,4,0,1.95,0.050192,11,1000,2000000,1e-06,0,0.243875,est
8,ASTRAL-II,QR,8,0,1,2.33,0.046924,11,1000,2000000,1e-06,0,0.164625,est
9,ASTRAL-II,QR,9,2,0,1.93,0.048592,11,1000,2000000,1e-06,0,0.27825,est
10,ASTRAL-II,QR,10,2,0,2.03,0.047612,11,1000,2000000,1e-06,0,0.24025,est
11,ASTRAL-II,QR,11,0,1,1.93,0.049672,11,1000,2000000,1e-06,0,0.17625,est
12,ASTRAL-II,QR,12,4,0,2.08,0.05308,11,1000,2000000,1e-06,0,0.27525,est
13,ASTRAL-II,QR,13,8,0,2.1,0.047056,11,1000,2000000,1e-06,0,0.215875,est
14,ASTRAL-II,QR,14,8,0,2.04,0.053212,11,1000,2000000,1e-06,0,0.09225,est
15,ASTRAL-II,QR,15,10,0,2.43,0.04922,11,1000,2000000,1e-06,0,0.137125,est
16,ASTRAL-II,QR,16,8,0,2.1,0.047628,11,1000,2000000,1e-06,0,0.195,est
17,ASTRAL-II,QR,17,0,1,1.8,0.052508,11,1000,2000000,1e-06,0,0.139625,est
18,ASTRAL-II,QR,18,8,0,2.01,0.051388,11,1000,2000000,1e-06,0,0.131375,est
19,ASTRAL-II,QR,19,0,1,2.0,0.047944,11,1000,2000000,1e-06,0,0.263,est
20,ASTRAL-II,QR,20,2,0,1.74,0.047656,11,1000,2000000,1e-06,0,0.20825,est
21,ASTRAL-II,QR,21,2,0,2.02,0.049416,11,1000,2000000,1e-06,0,0.126,est
22,ASTRAL-II,QR,22,8,0,2.16,0.049252,11,1000,2000000,1e-06,0,0.126125,est
23,ASTRAL-II,QR,23,0,1,1.61,0.050216,11,1000,2000000,1e-06,0,0.23925,est
24,ASTRAL-II,QR,24,8,0,2.12,0.048684,11,1000,2000000,1e-06,0,0.18175,est
25,ASTRAL-II,QR,25,4,0,1.98,0.04726,11,1000,2000000,1e-06,0,0.179625,est
26,ASTRAL-II,QR,26,6,0,1.91,0.05062,11,1000,2000000,1e-06,0,0.123875,est
27,ASTRAL-II,QR,27,2,0,1.7,0.047856,11,1000,2000000,1e-06,0,0.120375,est
28,ASTRAL-II,QR,28,6,0,1.95,0.048288,11,1000,2000000,1e-06,0,0.0835,est
29,ASTRAL-II,QR,29,4,0,1.94,0.048468,11,1000,2000000,1e-06,0,0.15625,est
30,ASTRAL-II,QR,30,8,0,1.86,0.048004,11,1000,2000000,1e-06,0,0.21575,est
31,ASTRAL-II,QR,31,10,0,1.85,0.048096,11,1000,2000000,1e-06,0,0.14475,est
32,ASTRAL-II,QR,32,0,1,1.89,0.048148,11,1000,2000000,1e-06,0,0.0985,est
33,ASTRAL-II,QR,33,2,0,1.86,0.049232,11,1000,2000000,1e-06,0,0.12125,est
34,ASTRAL-II,QR,34,10,0,1.78,0.048604,11,1000,2000000,1e-06,0,0.108625,est
35,ASTRAL-II,QR,35,8,0,2.03,0.049952,11,1000,2000000,1e-06,0,0.061,est
36,ASTRAL-II,QR,36,8,0,1.88,0.048528,11,1000,2000000,1e-06,0,0.13725,est
37,ASTRAL-II,QR,37,8,0,2.02,0.04872,11,1000,2000000,1e-06,0,0.27375,est
38,ASTRAL-II,QR,38,2,0,1.94,0.05122,11,1000,2000000,1e-06,0,0.22675,est
39,ASTRAL-II,QR,39,10,0,2.18,0.048836,11,1000,2000000,1e-06,0,0.189625,est
40,ASTRAL-II,QR,40,8,0,11.35,0.053044,11,1000,2000000,1e-06,0,0.249625,est
41,ASTRAL-II,QR,41,8,0,12.48,0.048172,11,1000,2000000,1e-06,0,0.133,est
