,dataset,method,replicate,cd,acc,times,memgb,n,k,height,speciation,gtee,ad,gtype
0,ASTRAL-II,QR,0,0,1,2.02,0.049964,11,1000,2000000,1e-06,0,0.183,true
1,ASTRAL-II,QR,1,2,0,2.12,0.051036,11,1000,2000000,1e-06,0,0.158375,true
2,ASTRAL-II,QR,2,2,0,2.06,0.05216,11,1000,2000000,1e-06,0,0.212625,true
3,ASTRAL-II,QR,3,8,0,2.08,0.049228,11,1000,2000000,1e-06,0,0.151,true
4,ASTRAL-II,QR,4,6,0,2.13,0.048108,11,1000,2000000,1e-06,0,0.161625,true
5,ASTRAL-II,QR,5,6,0,2.17,0.05412,11,1000,2000000,1e-06,0,0.180375,true
6,ASTRAL-II,QR,6,8,0,2.09,0.04942,11,1000,2000000,1e-06,0,0.107375,true
7,ASTRAL-II,QR,7,4,0,2.08,0.0506,11,1000,2000000,1e-06,0,0.243875,true
8,ASTRAL-II,QR,8,10,0,2.14,0.049108,11,1000,2000000,1e-06,0,0.164625,true
9,ASTRAL-II,QR,9,2,0,2.28,0.048776,11,1000,2000000,1e-06,0,0.27825,true
10,ASTRAL-II,QR,10,2,0,2.58,0.050448,11,1000,2000000,1e-06,0,0.24025,true
11,ASTRAL-II,QR,11,2,0,2.03,0.054992,11,1000,2000000,1e-06,0,0.17625,true
12,ASTRAL-II,QR,12,4,0,2.05,0.049024,11,1000,2000000,1e-06,0,0.27525,true
13,ASTRAL-II,QR,13,8,0,2.04,0.056452,11,1000,2000000,1e-06,0,0.215875,true
14,ASTRAL-II,QR,14,8,0,2.1,0.053968,11,1000,2000000,1e-06,0,0.09225,true
15,ASTRAL-II,QR,15,4,0,2.11,0.05078,11,1000,2000000,1e-06,0,0.137125,true
16,ASTRAL-II,QR,16,6,0,2.06,0.053696,11,1000,2000000,1e-06,0,0.195,true
17,ASTRAL-II,QR,17,0,1,2.73,0.049512,11,1000,2000000,1e-06,0,0.139625,true
18,ASTRAL-II,QR,18,8,0,2.1,0.049924,11,1000,2000000,1e-06,0,0.131375,true
19,ASTRAL-II,QR,19,0,1,2.09,0.048324,11,1000,2000000,1e-06,0,0.263,true
20,ASTRAL-II,QR,20,10,0,2.11,0.049164,11,1000,2000000,1e-06,0,0.20825,true
21,ASTRAL-II,QR,21,2,0,2.12,0.04798,11,1000,2000000,1e-06,0,0.126,true
22,ASTRAL-II,QR,22,0,1,2.11,0.051364,11,1000,2000000,1e-06,0,0.126125,true
23,ASTRAL-II,QR,23,0,1,1.86,0.049836,11,1000,2000000,1e-06,0,0.23925,true
24,ASTRAL-II,QR,24,8,0,5.11,0.04784,11,1000,2000000,1e-06,0,0.18175,true
25,ASTRAL-II,QR,25,8,0,5.15,0.048128,11,1000,2000000,1e-06,0,0.179625,true
26,ASTRAL-II,QR,26,6,0,4.88,0.04852,11,1000,2000000,1e-06,0,0.123875,true
27,ASTRAL-II,QR,27,0,1,5.0,0.048936,11,1000,2000000,1e-06,0,0.120375,true
28,ASTRAL-II,QR,28,4,0,1.9,0.049784,11,1000,2000000,1e-06,0,0.0835,true
29,ASTRAL-II,QR,29,6,0,2.0,0.05004,11,1000,2000000,1e-06,0,0.15625,true
30,ASTRAL-II,QR,30,6,0,2.0,0.053308,11,1000,2000000,1e-06,0,0.21575,true
31,ASTRAL-II,QR,31,0,1,1.71,0.050284,11,1000,2000000,1e-06,0,0.14475,true
32,ASTRAL-II,QR,32,0,1,1.88,0.050396,11,1000,2000000,1e-06,0,0.0985,true
33,ASTRAL-II,QR,33,2,0,1.71,0.050436,11,1000,2000000,1e-06,0,0.12125,true
34,ASTRAL-II,QR,34,8,0,1.91,0.049496,11,1000,2000000,1e-06,0,0.108625,true
