,dataset,method,qrcoef,abratio,replicate,cd,acc,times,memgb,n,k,length,gtee,ad,gtype
0,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,0,8,0,81.85,0.219616,101,1000,1600,,,est
1,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,1,0,1,85.85,0.219892,101,1000,1600,,,est
2,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,2,0,1,76.67,0.219648,101,1000,1600,,,est
3,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,3,0,1,78.53999999999999,0.221504,101,1000,1600,,,est
4,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,4,0,1,70.74,0.229072,101,1000,1600,,,est
5,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,5,0,1,75.11,0.22124,101,1000,1600,,,est
6,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,6,0,1,81.8,0.225396,101,1000,1600,,,est
7,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,7,0,1,72.27,0.2213,101,1000,1600,,,est
8,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,8,0,1,86.5,0.219484,101,1000,1600,,,est
9,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,9,0,1,84.03,0.218912,101,1000,1600,,,est
10,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,10,6,0,55.61,0.219028,101,1000,1600,,,est
11,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,11,0,1,53.11,0.221168,101,1000,1600,,,est
12,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,12,0,1,52.79,0.222496,101,1000,1600,,,est
13,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,13,0,1,50.68,0.223832,101,1000,1600,,,est
14,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,14,0,1,49.24,0.220108,101,1000,1600,,,est
15,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,15,2,0,60.52,0.218712,101,1000,1600,,,est
16,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,16,0,1,55.06,0.220504,101,1000,1600,,,est
17,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,17,0,1,45.99,0.219612,101,1000,1600,,,est
18,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,18,0,1,51.97,0.222004,101,1000,1600,,,est
19,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,19,0,1,52.6,0.221244,101,1000,1600,,,est
20,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,20,4,0,55.97,0.218296,101,1000,1600,,,est
21,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,21,0,1,55.29,0.219788,101,1000,1600,,,est
22,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,22,0,1,48.16,0.224936,101,1000,1600,,,est
23,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,23,0,1,53.27,0.222812,101,1000,1600,,,est
24,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,24,0,1,42.57,0.220616,101,1000,1600,,,est
25,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,25,0,1,49.54,0.219528,101,1000,1600,,,est
26,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,26,0,1,51.62,0.218156,101,1000,1600,,,est
27,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,27,0,1,54.86,0.219596,101,1000,1600,,,est
28,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,28,0,1,52.12,0.221132,101,1000,1600,,,est
29,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,29,0,1,54.97,0.221428,101,1000,1600,,,est
30,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,30,0,1,54.05,0.21826,101,1000,1600,,,est
31,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,31,2,0,53.14,0.21876,101,1000,1600,,,est
32,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,32,2,0,51.2,0.219296,101,1000,1600,,,est
33,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,33,0,1,55.67,0.217888,101,1000,1600,,,est
34,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,34,4,0,54.92,0.219304,101,1000,1600,,,est
35,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,35,0,1,55.54,0.220112,101,1000,1600,,,est
36,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,36,0,1,48.02,0.220564,101,1000,1600,,,est
37,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,37,10,0,52.09,0.21908,101,1000,1600,,,est
38,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,38,0,1,36.64,0.219764,101,1000,1600,,,est
39,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,39,0,1,46.22,0.221064,101,1000,1600,,,est
40,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,40,0,1,83.46000000000001,0.219512,101,1000,1600,,,est
41,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,41,0,1,71.11,0.219316,101,1000,1600,,,est
42,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,42,0,1,60.23,0.220192,101,1000,1600,,,est
43,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,43,0,1,45.68,0.2247,101,1000,1600,,,est
44,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,44,0,1,52.66,0.220208,101,1000,1600,,,est
45,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,45,0,1,77.07,0.221028,101,1000,1600,,,est
46,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,46,0,1,46.76,0.2183,101,1000,1600,,,est
47,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,47,0,1,58.72,0.2208,101,1000,1600,,,est
48,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,48,6,0,51.35,0.221364,101,1000,1600,,,est
49,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,49,0,1,49.29,0.218792,101,1000,1600,,,est
50,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,0,8,0,81.7,0.221152,101,1000,1600,,,est
51,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,1,0,1,84.62,0.218816,101,1000,1600,,,est
52,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,2,0,1,76.49,0.218884,101,1000,1600,,,est
53,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,3,0,1,80.11,0.220164,101,1000,1600,,,est
54,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,4,0,1,72.39,0.219068,101,1000,1600,,,est
55,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,5,0,1,73.12,0.219076,101,1000,1600,,,est
56,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,6,0,1,83.56,0.222916,101,1000,1600,,,est
57,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,7,0,1,75.32,0.2218,101,1000,1600,,,est
58,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,8,0,1,88.91,0.220388,101,1000,1600,,,est
59,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,9,0,1,86.05,0.2183,101,1000,1600,,,est
60,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,10,4,0,56.72,0.2196,101,1000,1600,,,est
61,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,11,0,1,46.77,0.218088,101,1000,1600,,,est
62,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,12,0,1,77.03999999999999,0.219592,101,1000,1600,,,est
63,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,13,0,1,50.97,0.218196,101,1000,1600,,,est
64,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,14,0,1,50.77,0.221548,101,1000,1600,,,est
65,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,15,2,0,58.51,0.218244,101,1000,1600,,,est
66,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,16,0,1,53.52,0.226428,101,1000,1600,,,est
67,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,17,4,0,41.07,0.219492,101,1000,1600,,,est
68,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,18,0,1,48.79,0.218888,101,1000,1600,,,est
69,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,19,0,1,54.18,0.219948,101,1000,1600,,,est
70,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,20,4,0,56.5,0.219216,101,1000,1600,,,est
71,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,21,0,1,55.12,0.219592,101,1000,1600,,,est
72,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,22,0,1,47.68,0.219664,101,1000,1600,,,est
73,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,23,0,1,52.02,0.219072,101,1000,1600,,,est
74,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,24,0,1,41.81,0.21906,101,1000,1600,,,est
75,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,25,0,1,50.35,0.219512,101,1000,1600,,,est
76,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,26,0,1,52.34,0.2189,101,1000,1600,,,est
77,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,27,0,1,55.38,0.218396,101,1000,1600,,,est
78,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,28,0,1,53.24,0.218496,101,1000,1600,,,est
79,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,29,0,1,53.33,0.218312,101,1000,1600,,,est
80,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,30,0,1,54.71,0.218348,101,1000,1600,,,est
81,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,31,2,0,47.99,0.2186,101,1000,1600,,,est
82,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,32,2,0,50.45,0.219756,101,1000,1600,,,est
83,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,33,0,1,51.03,0.219144,101,1000,1600,,,est
84,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,34,4,0,56.64,0.221192,101,1000,1600,,,est
85,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,35,0,1,54.75,0.219748,101,1000,1600,,,est
86,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,36,0,1,49.24,0.2207,101,1000,1600,,,est
87,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,37,10,0,52.3,0.22234,101,1000,1600,,,est
88,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,38,0,1,36.5,0.224736,101,1000,1600,,,est
89,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,39,0,1,38.48,0.219136,101,1000,1600,,,est
90,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,40,0,1,83.64,0.219712,101,1000,1600,,,est
91,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,41,0,1,70.62,0.219656,101,1000,1600,,,est
92,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,42,0,1,58.9,0.21948,101,1000,1600,,,est
93,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,43,0,1,46.45,0.219096,101,1000,1600,,,est
94,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,44,0,1,53.43,0.21938,101,1000,1600,,,est
95,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,45,0,1,78.53999999999999,0.21884,101,1000,1600,,,est
96,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,46,0,1,48.23,0.218324,101,1000,1600,,,est
97,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,47,0,1,59.13,0.22104,101,1000,1600,,,est
98,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,48,6,0,61.33,0.219468,101,1000,1600,,,est
99,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,49,0,1,45.28,0.220552,101,1000,1600,,,est
100,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,0,2,0,78.19,0.220872,101,1000,1600,,,est
101,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,1,0,1,83.51,0.219424,101,1000,1600,,,est
102,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,2,0,1,75.74,0.219584,101,1000,1600,,,est
103,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,3,0,1,77.91,0.219932,101,1000,1600,,,est
104,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,4,0,1,70.0,0.220116,101,1000,1600,,,est
105,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,5,0,1,74.57,0.220012,101,1000,1600,,,est
106,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,6,0,1,80.97,0.221952,101,1000,1600,,,est
107,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,7,0,1,77.12,0.220868,101,1000,1600,,,est
108,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,8,0,1,88.14,0.21874,101,1000,1600,,,est
109,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,9,0,1,80.87,0.21996,101,1000,1600,,,est
110,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,10,0,1,58.27,0.219532,101,1000,1600,,,est
111,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,11,0,1,52.21,0.21972,101,1000,1600,,,est
112,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,12,0,1,76.8,0.219828,101,1000,1600,,,est
113,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,13,0,1,50.77,0.219156,101,1000,1600,,,est
114,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,14,0,1,49.22,0.22012,101,1000,1600,,,est
115,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,15,2,0,59.82,0.22072,101,1000,1600,,,est
116,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,16,0,1,53.25,0.219128,101,1000,1600,,,est
117,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,17,4,0,47.61,0.219748,101,1000,1600,,,est
118,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,18,0,1,51.58,0.21994,101,1000,1600,,,est
119,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,19,0,1,53.26,0.219028,101,1000,1600,,,est
120,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,20,4,0,50.1,0.21958,101,1000,1600,,,est
121,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,21,0,1,55.9,0.218828,101,1000,1600,,,est
122,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,22,0,1,48.5,0.218652,101,1000,1600,,,est
123,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,23,0,1,52.72,0.221148,101,1000,1600,,,est
124,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,24,0,1,39.01,0.221084,101,1000,1600,,,est
125,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,25,0,1,48.67,0.220468,101,1000,1600,,,est
126,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,26,0,1,48.2,0.219956,101,1000,1600,,,est
127,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,27,0,1,73.22,0.218576,101,1000,1600,,,est
128,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,28,0,1,47.21,0.21962,101,1000,1600,,,est
129,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,29,0,1,54.72,0.218364,101,1000,1600,,,est
130,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,30,0,1,55.49,0.219532,101,1000,1600,,,est
131,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,31,2,0,53.05,0.219792,101,1000,1600,,,est
132,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,32,2,0,53.22,0.219304,101,1000,1600,,,est
133,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,33,0,1,57.62,0.218232,101,1000,1600,,,est
134,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,34,4,0,49.72,0.219388,101,1000,1600,,,est
