,dataset,method,qrcoef,qrratio,replicate,cd,acc,times,memgb,n,k,length,gtee,ad,gtype
0,ASTRAL-III,QR (LE),0.000000e+00,1,0,2,0,74.58,0.220848,101,1000,1600,,,est
1,ASTRAL-III,QR (LE),0.000000e+00,1,1,0,1,86.12,0.218684,101,1000,1600,,,est
2,ASTRAL-III,QR (LE),0.000000e+00,1,2,0,1,61.26,0.221828,101,1000,1600,,,est
3,ASTRAL-III,QR (LE),0.000000e+00,1,3,0,1,69.94,0.218868,101,1000,1600,,,est
4,ASTRAL-III,QR (LE),0.000000e+00,1,4,0,1,68.86,0.224968,101,1000,1600,,,est
5,ASTRAL-III,QR (LE),0.000000e+00,1,5,0,1,71.78,0.220208,101,1000,1600,,,est
6,ASTRAL-III,QR (LE),0.000000e+00,1,6,0,1,69.61,0.219064,101,1000,1600,,,est
7,ASTRAL-III,QR (LE),0.000000e+00,1,7,0,1,67.79,0.219024,101,1000,1600,,,est
8,ASTRAL-III,QR (LE),0.000000e+00,1,8,0,1,72.74,0.219632,101,1000,1600,,,est
9,ASTRAL-III,QR (LE),0.000000e+00,1,9,0,1,63.26,0.219564,101,1000,1600,,,est
10,ASTRAL-III,QR (LE),0.000000e+00,1,10,4,0,75.35,0.220156,101,1000,1600,,,est
11,ASTRAL-III,QR (LE),0.000000e+00,1,11,0,1,72.23,0.219348,101,1000,1600,,,est
12,ASTRAL-III,QR (LE),0.000000e+00,1,12,0,1,70.17,0.219676,101,1000,1600,,,est
13,ASTRAL-III,QR (LE),0.000000e+00,1,13,0,1,71.95,0.219372,101,1000,1600,,,est
14,ASTRAL-III,QR (LE),0.000000e+00,1,14,0,1,59.12,0.218632,101,1000,1600,,,est
15,ASTRAL-III,QR (LE),0.000000e+00,1,15,2,0,76.94,0.226992,101,1000,1600,,,est
16,ASTRAL-III,QR (LE),0.000000e+00,1,16,0,1,71.33,0.222084,101,1000,1600,,,est
17,ASTRAL-III,QR (LE),0.000000e+00,1,17,0,1,61.87,0.21974,101,1000,1600,,,est
18,ASTRAL-III,QR (LE),0.000000e+00,1,18,0,1,80.32,0.219648,101,1000,1600,,,est
19,ASTRAL-III,QR (LE),0.000000e+00,1,19,0,1,63.08,0.21866,101,1000,1600,,,est
20,ASTRAL-III,QR (LE),0.000000e+00,1,20,8,0,68.87,0.21846,101,1000,1600,,,est
21,ASTRAL-III,QR (LE),0.000000e+00,1,21,0,1,67.83,0.2236,101,1000,1600,,,est
22,ASTRAL-III,QR (LE),0.000000e+00,1,22,0,1,62.34,0.218804,101,1000,1600,,,est
23,ASTRAL-III,QR (LE),0.000000e+00,1,23,0,1,67.83,0.219556,101,1000,1600,,,est
24,ASTRAL-III,QR (LE),0.000000e+00,1,24,0,1,61.95,0.218116,101,1000,1600,,,est
25,ASTRAL-III,QR (LE),0.000000e+00,1,25,0,1,52.34,0.219396,101,1000,1600,,,est
26,ASTRAL-III,QR (LE),0.000000e+00,1,26,0,1,57.97,0.221664,101,1000,1600,,,est
27,ASTRAL-III,QR (LE),0.000000e+00,1,27,0,1,56.76,0.219336,101,1000,1600,,,est
28,ASTRAL-III,QR (LE),0.000000e+00,1,28,0,1,54.38,0.220728,101,1000,1600,,,est
29,ASTRAL-III,QR (LE),0.000000e+00,1,29,6,0,55.92,0.21868,101,1000,1600,,,est
30,ASTRAL-III,QR (LE),0.000000e+00,1,30,0,1,57.25,0.218196,101,1000,1600,,,est
31,ASTRAL-III,QR (LE),0.000000e+00,1,31,2,0,65.85,0.218488,101,1000,1600,,,est
32,ASTRAL-III,QR (LE),0.000000e+00,1,32,16,0,53.31,0.221428,101,1000,1600,,,est
33,ASTRAL-III,QR (LE),0.000000e+00,1,33,0,1,51.23,0.219024,101,1000,1600,,,est
34,ASTRAL-III,QR (LE),0.000000e+00,1,34,4,0,51.58,0.22152,101,1000,1600,,,est
35,ASTRAL-III,QR (LE),0.000000e+00,1,35,0,1,55.3,0.219412,101,1000,1600,,,est
36,ASTRAL-III,QR (LE),0.000000e+00,1,36,0,1,53.88,0.219808,101,1000,1600,,,est
37,ASTRAL-III,QR (LE),0.000000e+00,1,37,0,1,54.45,0.218712,101,1000,1600,,,est
38,ASTRAL-III,QR (LE),0.000000e+00,1,38,0,1,45.7,0.22022,101,1000,1600,,,est
39,ASTRAL-III,QR (LE),0.000000e+00,1,39,0,1,50.23,0.222148,101,1000,1600,,,est
40,ASTRAL-III,QR (LE),0.000000e+00,1,40,0,1,63.84,0.220988,101,1000,1600,,,est
41,ASTRAL-III,QR (LE),0.000000e+00,1,41,0,1,54.51,0.219496,101,1000,1600,,,est
42,ASTRAL-III,QR (LE),0.000000e+00,1,42,0,1,54.04,0.219396,101,1000,1600,,,est
43,ASTRAL-III,QR (LE),0.000000e+00,1,43,0,1,42.21,0.218316,101,1000,1600,,,est
44,ASTRAL-III,QR (LE),0.000000e+00,1,44,0,1,47.22,0.219988,101,1000,1600,,,est
45,ASTRAL-III,QR (LE),0.000000e+00,1,45,0,1,45.47,0.222356,101,1000,1600,,,est
46,ASTRAL-III,QR (LE),0.000000e+00,1,46,0,1,43.86,0.219328,101,1000,1600,,,est
47,ASTRAL-III,QR (LE),0.000000e+00,1,47,0,1,49.37,0.223168,101,1000,1600,,,est
48,ASTRAL-III,QR (LE),0.000000e+00,1,48,6,0,50.26,0.220152,101,1000,1600,,,est
49,ASTRAL-III,QR (LE),0.000000e+00,1,49,0,1,43.95,0.221008,101,1000,1600,,,est
50,ASTRAL-III,QR (LE),1.000000e-05,1,0,4,0,73.65,0.22166,101,1000,1600,,,est
51,ASTRAL-III,QR (LE),1.000000e-05,1,1,0,1,102.0,0.219712,101,1000,1600,,,est
52,ASTRAL-III,QR (LE),1.000000e-05,1,2,0,1,55.35,0.21884,101,1000,1600,,,est
