,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
0,avian-sim,QR,0,8,0,12.7,0.110004,48,1000,1X,true,0,0.4729999999999992,true
1,avian-sim,QR,1,12,0,13.37,0.11002,48,1000,1X,true,0,0.4757333333333335,true
2,avian-sim,QR,2,14,0,14.2,0.111988,48,1000,1X,true,0,0.47335555555555503,true
3,avian-sim,QR,3,12,0,13.03,0.110044,48,1000,1X,true,0,0.4705333333333328,true
4,avian-sim,QR,4,10,0,13.03,0.109944,48,1000,1X,true,0,0.46977777777777674,true
5,avian-sim,QR,5,14,0,13.43,0.110092,48,1000,1X,true,0,0.47102222222222084,true
6,avian-sim,QR,6,8,0,14.63,0.11146,48,1000,1X,true,0,0.47499999999999903,true
7,avian-sim,QR,7,8,0,12.58,0.1119,48,1000,1X,true,0,0.4713777777777769,true
8,avian-sim,QR,8,2,0,13.29,0.11002,48,1000,1X,true,0,0.4736444444444437,true
9,avian-sim,QR,9,12,0,13.74,0.110008,48,1000,1X,true,0,0.4733555555555553,true
10,avian-sim,QR,10,10,0,15.27,0.110024,48,1000,1X,true,0,0.47102222222222195,true
11,avian-sim,QR,11,10,0,13.24,0.117996,48,1000,1X,true,0,0.4714444444444432,true
12,avian-sim,QR,12,10,0,13.36,0.110032,48,1000,1X,true,0,0.47468888888888844,true
13,avian-sim,QR,13,10,0,14.85,0.114144,48,1000,1X,true,0,0.47155555555555456,true
14,avian-sim,QR,14,16,0,15.38,0.1101,48,1000,1X,true,0,0.4740222222222219,true
15,avian-sim,QR,15,8,0,12.64,0.109892,48,1000,1X,true,0,0.4748666666666651,true
16,avian-sim,QR,16,12,0,36.57,0.11006,48,1000,1X,true,0,0.47735555555555553,true
17,avian-sim,QR,17,8,0,34.57,0.111084,48,1000,1X,true,0,0.4755777777777766,true
18,avian-sim,QR,18,12,0,37.1,0.111952,48,1000,1X,true,0,0.4721999999999998,true
19,avian-sim,QR,19,10,0,36.96,0.10998,48,1000,1X,true,0,0.4709555555555538,true
20,avian-sim,QR*,0,6,0,11.91,0.111864,48,1000,1X,true,0,0.4729999999999992,true
21,avian-sim,QR*,1,10,0,12.14,0.109956,48,1000,1X,true,0,0.4757333333333335,true
22,avian-sim,QR*,2,12,0,12.51,0.110872,48,1000,1X,true,0,0.47335555555555503,true
23,avian-sim,QR*,3,10,0,11.82,0.109804,48,1000,1X,true,0,0.4705333333333328,true
24,avian-sim,QR*,4,8,0,12.12,0.109764,48,1000,1X,true,0,0.46977777777777674,true
25,avian-sim,QR*,5,12,0,12.46,0.109956,48,1000,1X,true,0,0.47102222222222084,true
26,avian-sim,QR*,6,6,0,12.33,0.111956,48,1000,1X,true,0,0.47499999999999903,true
27,avian-sim,QR*,7,4,0,11.67,0.109872,48,1000,1X,true,0,0.4713777777777769,true
28,avian-sim,QR*,8,8,0,12.04,0.109804,48,1000,1X,true,0,0.4736444444444437,true
29,avian-sim,QR*,9,10,0,12.11,0.1139,48,1000,1X,true,0,0.4733555555555553,true
30,avian-sim,QR*,10,8,0,14.03,0.109972,48,1000,1X,true,0,0.47102222222222195,true
31,avian-sim,QR*,11,8,0,11.68,0.109852,48,1000,1X,true,0,0.4714444444444432,true
32,avian-sim,QR*,12,8,0,11.39,0.112204,48,1000,1X,true,0,0.47468888888888844,true
33,avian-sim,QR*,13,8,0,14.39,0.112008,48,1000,1X,true,0,0.47155555555555456,true
34,avian-sim,QR*,14,14,0,13.38,0.110152,48,1000,1X,true,0,0.4740222222222219,true
35,avian-sim,QR*,15,2,0,11.02,0.10976,48,1000,1X,true,0,0.4748666666666651,true
36,avian-sim,QR*,16,10,0,33.44,0.114252,48,1000,1X,true,0,0.47735555555555553,true
37,avian-sim,QR*,17,10,0,33.44,0.110004,48,1000,1X,true,0,0.4755777777777766,true
38,avian-sim,QR*,18,10,0,33.45,0.114112,48,1000,1X,true,0,0.4721999999999998,true
39,avian-sim,QR*,19,8,0,33.44,0.113524,48,1000,1X,true,0,0.4709555555555538,true
40,avian-sim,optimal,0,0,1,3.08,0.03846,48,1000,1X,true,0,0.4729999999999992,true
41,avian-sim,optimal,1,4,0,3.04,0.039688,48,1000,1X,true,0,0.4757333333333335,true
42,avian-sim,optimal,2,6,0,3.08,0.03984,48,1000,1X,true,0,0.47335555555555503,true
43,avian-sim,optimal,3,4,0,3.09,0.039308,48,1000,1X,true,0,0.4705333333333328,true
44,avian-sim,optimal,4,2,0,3.09,0.0388,48,1000,1X,true,0,0.46977777777777674,true
45,avian-sim,optimal,5,6,0,3.04,0.039796,48,1000,1X,true,0,0.47102222222222084,true
46,avian-sim,optimal,6,0,1,3.03,0.045696,48,1000,1X,true,0,0.47499999999999903,true
47,avian-sim,optimal,7,2,0,3.03,0.038616,48,1000,1X,true,0,0.4713777777777769,true
48,avian-sim,optimal,8,2,0,3.03,0.039956,48,1000,1X,true,0,0.4736444444444437,true
