,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
0,mammalian-sim,QR,0,6,0,10.71,0.087404,48,200,0.5X,500,0.2527941176470589,0.5392647058823532,est
1,mammalian-sim,QR,1,6,0,10.1,0.085848,48,200,0.5X,500,0.2716176470588236,0.5366176470588236,est
2,mammalian-sim,QR,2,8,0,10.47,0.085516,48,200,0.5X,500,0.263235294117647,0.535588235294118,est
3,mammalian-sim,QR,3,8,0,10.18,0.085636,48,200,0.5X,500,0.2760294117647057,0.5325000000000002,est
4,mammalian-sim,QR,4,10,0,10.0,0.087868,48,200,0.5X,500,0.2747058823529412,0.5423529411764709,est
5,mammalian-sim,QR,5,0,1,10.1,0.083748,48,200,0.5X,500,0.25323529411764717,0.5448529411764708,est
6,mammalian-sim,QR,6,2,0,10.47,0.085292,48,200,0.5X,500,0.26617647058823535,0.5405882352941179,est
7,mammalian-sim,QR,7,10,0,9.68,0.084472,48,200,0.5X,500,0.272941176470588,0.5502941176470595,est
8,mammalian-sim,QR,8,4,0,10.52,0.08608,48,200,0.5X,500,0.2836764705882352,0.5345588235294119,est
9,mammalian-sim,QR,9,6,0,10.16,0.08464,48,200,0.5X,500,0.2657352941176469,0.5444117647058829,est
10,mammalian-sim,QR,10,8,0,10.39,0.087888,48,200,0.5X,500,0.2669117647058824,0.5319117647058826,est
11,mammalian-sim,QR,11,10,0,10.72,0.08494,48,200,0.5X,500,0.2554411764705882,0.5414705882352945,est
12,mammalian-sim,QR,12,8,0,10.78,0.085696,48,200,0.5X,500,0.25926470588235306,0.5358823529411766,est
13,mammalian-sim,QR,13,8,0,10.31,0.085516,48,200,0.5X,500,0.26117647058823534,0.5277941176470589,est
14,mammalian-sim,QR,14,8,0,10.84,0.084928,48,200,0.5X,500,0.2554411764705883,0.5385294117647059,est
15,mammalian-sim,QR,15,10,0,10.39,0.083952,48,200,0.5X,500,0.2573529411764704,0.5330882352941178,est
16,mammalian-sim,QR,16,6,0,27.63,0.085352,48,200,0.5X,500,0.24852941176470592,0.538529411764706,est
17,mammalian-sim,QR,17,4,0,28.21,0.086352,48,200,0.5X,500,0.2720588235294116,0.5464705882352946,est
18,mammalian-sim,QR,18,12,0,26.55,0.083776,48,200,0.5X,500,0.27235294117647046,0.5388235294117649,est
19,mammalian-sim,QR,19,8,0,27.11,0.087904,48,200,0.5X,500,0.2761764705882353,0.5461764705882357,est
20,mammalian-sim,QR*,0,6,0,10.47,0.087732,48,200,0.5X,500,0.2527941176470589,0.5392647058823532,est
21,mammalian-sim,QR*,1,6,0,9.12,0.084848,48,200,0.5X,500,0.2716176470588236,0.5366176470588236,est
22,mammalian-sim,QR*,2,8,0,8.94,0.083664,48,200,0.5X,500,0.263235294117647,0.535588235294118,est
23,mammalian-sim,QR*,3,2,0,9.1,0.08438,48,200,0.5X,500,0.2760294117647057,0.5325000000000002,est
24,mammalian-sim,QR*,4,10,0,9.14,0.085508,48,200,0.5X,500,0.2747058823529412,0.5423529411764709,est
25,mammalian-sim,QR*,5,2,0,9.15,0.084928,48,200,0.5X,500,0.25323529411764717,0.5448529411764708,est
26,mammalian-sim,QR*,6,2,0,8.72,0.084972,48,200,0.5X,500,0.26617647058823535,0.5405882352941179,est
27,mammalian-sim,QR*,7,8,0,8.8,0.085296,48,200,0.5X,500,0.272941176470588,0.5502941176470595,est
28,mammalian-sim,QR*,8,6,0,9.14,0.084464,48,200,0.5X,500,0.2836764705882352,0.5345588235294119,est
29,mammalian-sim,QR*,9,6,0,8.35,0.084064,48,200,0.5X,500,0.2657352941176469,0.5444117647058829,est
30,mammalian-sim,QR*,10,8,0,8.68,0.085188,48,200,0.5X,500,0.2669117647058824,0.5319117647058826,est
31,mammalian-sim,QR*,11,10,0,9.51,0.08376,48,200,0.5X,500,0.2554411764705882,0.5414705882352945,est
32,mammalian-sim,QR*,12,8,0,10.17,0.086648,48,200,0.5X,500,0.25926470588235306,0.5358823529411766,est
33,mammalian-sim,QR*,13,6,0,8.79,0.084376,48,200,0.5X,500,0.26117647058823534,0.5277941176470589,est
34,mammalian-sim,QR*,14,8,0,8.88,0.092168,48,200,0.5X,500,0.2554411764705883,0.5385294117647059,est
35,mammalian-sim,QR*,15,8,0,23.66,0.084692,48,200,0.5X,500,0.2573529411764704,0.5330882352941178,est
36,mammalian-sim,QR*,16,6,0,25.09,0.084792,48,200,0.5X,500,0.24852941176470592,0.538529411764706,est
37,mammalian-sim,QR*,17,8,0,26.79,0.085408,48,200,0.5X,500,0.2720588235294116,0.5464705882352946,est
38,mammalian-sim,QR*,18,8,0,24.12,0.083904,48,200,0.5X,500,0.27235294117647046,0.5388235294117649,est
39,mammalian-sim,QR*,19,8,0,24.62,0.084728,48,200,0.5X,500,0.2761764705882353,0.5461764705882357,est
40,mammalian-sim,optimal,0,4,0,2.25,0.035848,48,200,0.5X,500,0.2527941176470589,0.5392647058823532,est
41,mammalian-sim,optimal,1,2,0,2.23,0.036072,48,200,0.5X,500,0.2716176470588236,0.5366176470588236,est
42,mammalian-sim,optimal,2,4,0,2.2,0.036344,48,200,0.5X,500,0.263235294117647,0.535588235294118,est
43,mammalian-sim,optimal,3,2,0,0.91,0.035392,48,200,0.5X,500,0.2760294117647057,0.5325000000000002,est
44,mammalian-sim,optimal,4,6,0,0.9,0.035352,48,200,0.5X,500,0.2747058823529412,0.5423529411764709,est
45,mammalian-sim,optimal,5,0,1,0.88,0.037164,48,200,0.5X,500,0.25323529411764717,0.5448529411764708,est
46,mammalian-sim,optimal,6,2,0,0.88,0.036536,48,200,0.5X,500,0.26617647058823535,0.5405882352941179,est
47,mammalian-sim,optimal,7,6,0,0.89,0.035284,48,200,0.5X,500,0.272941176470588,0.5502941176470595,est
48,mammalian-sim,optimal,8,2,0,2.2,0.035364,48,200,0.5X,500,0.2836764705882352,0.5345588235294119,est
49,mammalian-sim,optimal,9,2,0,2.23,0.035292,48,200,0.5X,500,0.2657352941176469,0.5444117647058829,est
50,mammalian-sim,optimal,10,2,0,2.19,0.035976,48,200,0.5X,500,0.2669117647058824,0.5319117647058826,est
51,mammalian-sim,optimal,11,4,0,2.22,0.036168,48,200,0.5X,500,0.2554411764705882,0.5414705882352945,est
52,mammalian-sim,optimal,12,2,0,2.24,0.036532,48,200,0.5X,500,0.25926470588235306,0.5358823529411766,est
53,mammalian-sim,optimal,13,2,0,2.23,0.037284,48,200,0.5X,500,0.26117647058823534,0.5277941176470589,est
54,mammalian-sim,optimal,14,2,0,2.22,0.036324,48,200,0.5X,500,0.2554411764705883,0.5385294117647059,est
55,mammalian-sim,optimal,15,4,0,0.89,0.035432,48,200,0.5X,500,0.2573529411764704,0.5330882352941178,est
56,mammalian-sim,optimal,16,4,0,0.91,0.03608,48,200,0.5X,500,0.24852941176470592,0.538529411764706,est
57,mammalian-sim,optimal,17,4,0,2.39,0.037136,48,200,0.5X,500,0.2720588235294116,0.5464705882352946,est
58,mammalian-sim,optimal,18,6,0,0.89,0.034892,48,200,0.5X,500,0.27235294117647046,0.5388235294117649,est
59,mammalian-sim,optimal,19,6,0,2.36,0.035668,48,200,0.5X,500,0.2761764705882353,0.5461764705882357,est
60,mammalian-sim,QR,0,10,0,10.6,0.082748,48,50,0.5X,500,0.2527941176470589,0.5392647058823532,est
61,mammalian-sim,QR,1,16,0,12.32,0.082588,48,50,0.5X,500,0.2716176470588236,0.5366176470588236,est
62,mammalian-sim,QR,2,20,0,10.98,0.082664,48,50,0.5X,500,0.263235294117647,0.535588235294118,est
63,mammalian-sim,QR,3,12,0,10.34,0.083568,48,50,0.5X,500,0.2760294117647057,0.5325000000000002,est
64,mammalian-sim,QR,4,14,0,11.35,0.082916,48,50,0.5X,500,0.2747058823529412,0.5423529411764709,est
65,mammalian-sim,QR,5,14,0,11.26,0.083224,48,50,0.5X,500,0.25323529411764717,0.5448529411764708,est
66,mammalian-sim,QR,6,14,0,10.54,0.083072,48,50,0.5X,500,0.26617647058823535,0.5405882352941179,est
67,mammalian-sim,QR,7,14,0,10.67,0.085124,48,50,0.5X,500,0.272941176470588,0.5502941176470595,est
68,mammalian-sim,QR,8,18,0,10.46,0.084368,48,50,0.5X,500,0.2836764705882352,0.5345588235294119,est
69,mammalian-sim,QR,9,6,0,10.68,0.08792,48,50,0.5X,500,0.2657352941176469,0.5444117647058829,est
70,mammalian-sim,QR,10,10,0,10.56,0.086196,48,50,0.5X,500,0.2669117647058824,0.5319117647058826,est
71,mammalian-sim,QR,11,20,0,10.89,0.087948,48,50,0.5X,500,0.2554411764705882,0.5414705882352945,est
72,mammalian-sim,QR,12,6,0,10.9,0.0854,48,50,0.5X,500,0.25926470588235306,0.5358823529411766,est
73,mammalian-sim,QR,13,16,0,10.35,0.082516,48,50,0.5X,500,0.26117647058823534,0.5277941176470589,est
74,mammalian-sim,QR,14,8,0,10.28,0.08296,48,50,0.5X,500,0.2554411764705883,0.5385294117647059,est
75,mammalian-sim,QR,15,14,0,10.76,0.08456,48,50,0.5X,500,0.2573529411764704,0.5330882352941178,est
76,mammalian-sim,QR,16,16,0,28.14,0.08276,48,50,0.5X,500,0.24852941176470592,0.538529411764706,est
77,mammalian-sim,QR,17,12,0,29.03,0.082796,48,50,0.5X,500,0.2720588235294116,0.5464705882352946,est
78,mammalian-sim,QR,18,4,0,28.81,0.0837,48,50,0.5X,500,0.27235294117647046,0.5388235294117649,est
79,mammalian-sim,QR,19,12,0,29.23,0.083904,48,50,0.5X,500,0.2761764705882353,0.5461764705882357,est
80,mammalian-sim,QR*,0,12,0,9.98,0.087008,48,50,0.5X,500,0.2527941176470589,0.5392647058823532,est
81,mammalian-sim,QR*,1,16,0,9.48,0.082904,48,50,0.5X,500,0.2716176470588236,0.5366176470588236,est
82,mammalian-sim,QR*,2,20,0,9.97,0.082944,48,50,0.5X,500,0.263235294117647,0.535588235294118,est
83,mammalian-sim,QR*,3,12,0,9.28,0.083972,48,50,0.5X,500,0.2760294117647057,0.5325000000000002,est
84,mammalian-sim,QR*,4,14,0,10.56,0.082632,48,50,0.5X,500,0.2747058823529412,0.5423529411764709,est
85,mammalian-sim,QR*,5,14,0,10.25,0.086812,48,50,0.5X,500,0.25323529411764717,0.5448529411764708,est
86,mammalian-sim,QR*,6,14,0,10.02,0.08264,48,50,0.5X,500,0.26617647058823535,0.5405882352941179,est
87,mammalian-sim,QR*,7,10,0,10.22,0.087824,48,50,0.5X,500,0.272941176470588,0.5502941176470595,est
88,mammalian-sim,QR*,8,12,0,9.24,0.082744,48,50,0.5X,500,0.2836764705882352,0.5345588235294119,est
89,mammalian-sim,QR*,9,10,0,9.13,0.08234,48,50,0.5X,500,0.2657352941176469,0.5444117647058829,est
