,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
0,mammalian-sim,QR,0,2,0,9.94,0.084624,37,200,0.5X,500,0.2527941176470589,0.5392647058823532,est
1,mammalian-sim,QR,1,4,0,10.34,0.08452,37,200,0.5X,500,0.2716176470588236,0.5366176470588236,est
2,mammalian-sim,QR,2,4,0,10.35,0.08388,37,200,0.5X,500,0.263235294117647,0.535588235294118,est
3,mammalian-sim,QR,3,2,0,14.41,0.083876,37,200,0.5X,500,0.2760294117647057,0.5325000000000002,est
4,mammalian-sim,QR,4,6,0,10.6,0.084872,37,200,0.5X,500,0.2747058823529412,0.5423529411764709,est
5,mammalian-sim,QR,5,0,1,10.37,0.08496,37,200,0.5X,500,0.25323529411764717,0.5448529411764708,est
6,mammalian-sim,QR,6,0,1,10.58,0.084624,37,200,0.5X,500,0.26617647058823535,0.5405882352941179,est
7,mammalian-sim,QR,7,10,0,10.15,0.086092,37,200,0.5X,500,0.272941176470588,0.5502941176470595,est
8,mammalian-sim,QR,8,4,0,10.26,0.084836,37,200,0.5X,500,0.2836764705882352,0.5345588235294119,est
9,mammalian-sim,QR,9,4,0,10.07,0.084956,37,200,0.5X,500,0.2657352941176469,0.5444117647058829,est
10,mammalian-sim,QR,10,0,1,10.35,0.086892,37,200,0.5X,500,0.2669117647058824,0.5319117647058826,est
11,mammalian-sim,QR,11,4,0,10.22,0.084864,37,200,0.5X,500,0.2554411764705882,0.5414705882352945,est
12,mammalian-sim,QR,12,6,0,10.5,0.085468,37,200,0.5X,500,0.25926470588235306,0.5358823529411766,est
13,mammalian-sim,QR,13,0,1,26.98,0.083812,37,200,0.5X,500,0.26117647058823534,0.5277941176470589,est
14,mammalian-sim,QR,14,2,0,26.12,0.085108,37,200,0.5X,500,0.2554411764705883,0.5385294117647059,est
15,mammalian-sim,QR,15,2,0,29.86,0.08404,37,200,0.5X,500,0.2573529411764704,0.5330882352941178,est
16,mammalian-sim,QR,16,2,0,26.98,0.087972,37,200,0.5X,500,0.24852941176470592,0.538529411764706,est
17,mammalian-sim,QR,17,4,0,27.63,0.084548,37,200,0.5X,500,0.2720588235294116,0.5464705882352946,est
18,mammalian-sim,QR,18,4,0,26.75,0.084968,37,200,0.5X,500,0.27235294117647046,0.5388235294117649,est
19,mammalian-sim,QR,19,2,0,26.35,0.085432,37,200,0.5X,500,0.2761764705882353,0.5461764705882357,est
20,mammalian-sim,QR*,0,2,0,9.04,0.086388,37,200,0.5X,500,0.2527941176470589,0.5392647058823532,est
21,mammalian-sim,QR*,1,4,0,9.28,0.08478,37,200,0.5X,500,0.2716176470588236,0.5366176470588236,est
22,mammalian-sim,QR*,2,4,0,9.05,0.085696,37,200,0.5X,500,0.263235294117647,0.535588235294118,est
23,mammalian-sim,QR*,3,4,0,9.25,0.08464,37,200,0.5X,500,0.2760294117647057,0.5325000000000002,est
24,mammalian-sim,QR*,4,6,0,9.26,0.084132,37,200,0.5X,500,0.2747058823529412,0.5423529411764709,est
25,mammalian-sim,QR*,5,4,0,8.87,0.084436,37,200,0.5X,500,0.25323529411764717,0.5448529411764708,est
26,mammalian-sim,QR*,6,0,1,8.9,0.085376,37,200,0.5X,500,0.26617647058823535,0.5405882352941179,est
27,mammalian-sim,QR*,7,8,0,9.37,0.085368,37,200,0.5X,500,0.272941176470588,0.5502941176470595,est
28,mammalian-sim,QR*,8,4,0,9.29,0.085956,37,200,0.5X,500,0.2836764705882352,0.5345588235294119,est
29,mammalian-sim,QR*,9,4,0,9.17,0.085044,37,200,0.5X,500,0.2657352941176469,0.5444117647058829,est
30,mammalian-sim,QR*,10,10,0,9.15,0.084548,37,200,0.5X,500,0.2669117647058824,0.5319117647058826,est
31,mammalian-sim,QR*,11,4,0,9.01,0.086008,37,200,0.5X,500,0.2554411764705882,0.5414705882352945,est
32,mammalian-sim,QR*,12,6,0,9.01,0.084904,37,200,0.5X,500,0.25926470588235306,0.5358823529411766,est
33,mammalian-sim,QR*,13,0,1,8.84,0.084848,37,200,0.5X,500,0.26117647058823534,0.5277941176470589,est
34,mammalian-sim,QR*,14,4,0,8.86,0.085992,37,200,0.5X,500,0.2554411764705883,0.5385294117647059,est
35,mammalian-sim,QR*,15,4,0,8.65,0.08508,37,200,0.5X,500,0.2573529411764704,0.5330882352941178,est
36,mammalian-sim,QR*,16,6,0,23.58,0.085116,37,200,0.5X,500,0.24852941176470592,0.538529411764706,est
37,mammalian-sim,QR*,17,4,0,24.62,0.086108,37,200,0.5X,500,0.2720588235294116,0.5464705882352946,est
38,mammalian-sim,QR*,18,4,0,24.52,0.087784,37,200,0.5X,500,0.27235294117647046,0.5388235294117649,est
39,mammalian-sim,QR*,19,2,0,24.19,0.08696,37,200,0.5X,500,0.2761764705882353,0.5461764705882357,est
40,mammalian-sim,QR,0,2,0,10.4,0.084584,37,50,0.5X,500,0.2527941176470589,0.5392647058823532,est
41,mammalian-sim,QR,1,12,0,10.42,0.083748,37,50,0.5X,500,0.2716176470588236,0.5366176470588236,est
42,mammalian-sim,QR,2,12,0,10.56,0.082724,37,50,0.5X,500,0.263235294117647,0.535588235294118,est
43,mammalian-sim,QR,3,2,0,10.71,0.08378,37,50,0.5X,500,0.2760294117647057,0.5325000000000002,est
44,mammalian-sim,QR,4,8,0,10.88,0.084288,37,50,0.5X,500,0.2747058823529412,0.5423529411764709,est
45,mammalian-sim,QR,5,10,0,10.52,0.083364,37,50,0.5X,500,0.25323529411764717,0.5448529411764708,est
46,mammalian-sim,QR,6,0,1,10.35,0.082728,37,50,0.5X,500,0.26617647058823535,0.5405882352941179,est
47,mammalian-sim,QR,7,10,0,9.85,0.082524,37,50,0.5X,500,0.272941176470588,0.5502941176470595,est
48,mammalian-sim,QR,8,10,0,10.77,0.08414,37,50,0.5X,500,0.2836764705882352,0.5345588235294119,est
49,mammalian-sim,QR,9,2,0,10.14,0.08262,37,50,0.5X,500,0.2657352941176469,0.5444117647058829,est
50,mammalian-sim,QR,10,0,1,10.53,0.084348,37,50,0.5X,500,0.2669117647058824,0.5319117647058826,est
51,mammalian-sim,QR,11,0,1,11.79,0.083944,37,50,0.5X,500,0.2554411764705882,0.5414705882352945,est
52,mammalian-sim,QR,12,2,0,10.2,0.08526,37,50,0.5X,500,0.25926470588235306,0.5358823529411766,est
53,mammalian-sim,QR,13,0,1,27.32,0.083208,37,50,0.5X,500,0.26117647058823534,0.5277941176470589,est
54,mammalian-sim,QR,14,2,0,27.41,0.086048,37,50,0.5X,500,0.2554411764705883,0.5385294117647059,est
55,mammalian-sim,QR,15,0,1,28.06,0.086268,37,50,0.5X,500,0.2573529411764704,0.5330882352941178,est
56,mammalian-sim,QR,16,2,0,28.22,0.0837,37,50,0.5X,500,0.24852941176470592,0.538529411764706,est
57,mammalian-sim,QR,17,8,0,28.93,0.083912,37,50,0.5X,500,0.2720588235294116,0.5464705882352946,est
58,mammalian-sim,QR,18,4,0,28.69,0.083732,37,50,0.5X,500,0.27235294117647046,0.5388235294117649,est
59,mammalian-sim,QR,19,12,0,28.81,0.083608,37,50,0.5X,500,0.2761764705882353,0.5461764705882357,est
60,mammalian-sim,QR*,0,2,0,9.63,0.083748,37,50,0.5X,500,0.2527941176470589,0.5392647058823532,est
61,mammalian-sim,QR*,1,12,0,9.72,0.084332,37,50,0.5X,500,0.2716176470588236,0.5366176470588236,est
62,mammalian-sim,QR*,2,10,0,9.6,0.083248,37,50,0.5X,500,0.263235294117647,0.535588235294118,est
63,mammalian-sim,QR*,3,4,0,9.61,0.082856,37,50,0.5X,500,0.2760294117647057,0.5325000000000002,est
64,mammalian-sim,QR*,4,8,0,10.01,0.0832,37,50,0.5X,500,0.2747058823529412,0.5423529411764709,est
65,mammalian-sim,QR*,5,8,0,9.91,0.08528,37,50,0.5X,500,0.25323529411764717,0.5448529411764708,est
66,mammalian-sim,QR*,6,0,1,9.86,0.086084,37,50,0.5X,500,0.26617647058823535,0.5405882352941179,est
67,mammalian-sim,QR*,7,8,0,9.49,0.085084,37,50,0.5X,500,0.272941176470588,0.5502941176470595,est
68,mammalian-sim,QR*,8,10,0,10.0,0.082448,37,50,0.5X,500,0.2836764705882352,0.5345588235294119,est
69,mammalian-sim,QR*,9,2,0,9.71,0.08258,37,50,0.5X,500,0.2657352941176469,0.5444117647058829,est
70,mammalian-sim,QR*,10,0,1,9.69,0.082676,37,50,0.5X,500,0.2669117647058824,0.5319117647058826,est
71,mammalian-sim,QR*,11,8,0,10.35,0.082764,37,50,0.5X,500,0.2554411764705882,0.5414705882352945,est
72,mammalian-sim,QR*,12,10,0,9.26,0.086004,37,50,0.5X,500,0.25926470588235306,0.5358823529411766,est
73,mammalian-sim,QR*,13,12,0,9.61,0.085376,37,50,0.5X,500,0.26117647058823534,0.5277941176470589,est
74,mammalian-sim,QR*,14,2,0,23.84,0.082392,37,50,0.5X,500,0.2554411764705883,0.5385294117647059,est
75,mammalian-sim,QR*,15,4,0,25.72,0.084336,37,50,0.5X,500,0.2573529411764704,0.5330882352941178,est
76,mammalian-sim,QR*,16,10,0,26.71,0.082996,37,50,0.5X,500,0.24852941176470592,0.538529411764706,est
77,mammalian-sim,QR*,17,8,0,27.12,0.082884,37,50,0.5X,500,0.2720588235294116,0.5464705882352946,est
78,mammalian-sim,QR*,18,4,0,26.18,0.083144,37,50,0.5X,500,0.27235294117647046,0.5388235294117649,est
79,mammalian-sim,QR*,19,4,0,26.76,0.083436,37,50,0.5X,500,0.2761764705882353,0.5461764705882357,est
