,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
0,mammalian-sim,QR,0,2,0,10.82,0.088008,37,200,1X,true,0,0.33352941176470574,true
1,mammalian-sim,QR,1,0,1,10.5,0.084844,37,200,1X,true,0,0.32441176470588245,true
2,mammalian-sim,QR,2,2,0,10.82,0.084412,37,200,1X,true,0,0.3360294117647058,true
3,mammalian-sim,QR,3,0,1,10.27,0.084176,37,200,1X,true,0,0.335,true
4,mammalian-sim,QR,4,2,0,9.71,0.084964,37,200,1X,true,0,0.32941176470588224,true
5,mammalian-sim,QR,5,10,0,10.53,0.08744,37,200,1X,true,0,0.3223529411764705,true
6,mammalian-sim,QR,6,2,0,10.96,0.085096,37,200,1X,true,0,0.3257352941176469,true
7,mammalian-sim,QR,7,2,0,10.03,0.086096,37,200,1X,true,0,0.33220588235294085,true
8,mammalian-sim,QR,8,2,0,9.8,0.08792,37,200,1X,true,0,0.33147058823529396,true
9,mammalian-sim,QR,9,2,0,9.96,0.084356,37,200,1X,true,0,0.3366176470588234,true
10,mammalian-sim,QR,10,2,0,10.25,0.084824,37,200,1X,true,0,0.3202941176470587,true
11,mammalian-sim,QR,11,2,0,10.6,0.086036,37,200,1X,true,0,0.3358823529411762,true
12,mammalian-sim,QR,12,6,0,10.48,0.087936,37,200,1X,true,0,0.3339705882352942,true
13,mammalian-sim,QR,13,2,0,10.8,0.085292,37,200,1X,true,0,0.33470588235294096,true
14,mammalian-sim,QR,14,2,0,10.48,0.085212,37,200,1X,true,0,0.3283823529411765,true
15,mammalian-sim,QR,15,8,0,10.16,0.084744,37,200,1X,true,0,0.32352941176470573,true
16,mammalian-sim,QR,16,0,1,27.14,0.084256,37,200,1X,true,0,0.327205882352941,true
17,mammalian-sim,QR,17,2,0,27.14,0.084852,37,200,1X,true,0,0.3274999999999998,true
18,mammalian-sim,QR,18,12,0,28.38,0.086804,37,200,1X,true,0,0.3285294117647055,true
19,mammalian-sim,QR,19,2,0,26.35,0.08448,37,200,1X,true,0,0.329705882352941,true
20,mammalian-sim,QR*,0,4,0,9.19,0.084524,37,200,1X,true,0,0.33352941176470574,true
21,mammalian-sim,QR*,1,2,0,9.15,0.087608,37,200,1X,true,0,0.32441176470588245,true
22,mammalian-sim,QR*,2,2,0,9.67,0.085588,37,200,1X,true,0,0.3360294117647058,true
23,mammalian-sim,QR*,3,2,0,9.33,0.087716,37,200,1X,true,0,0.335,true
24,mammalian-sim,QR*,4,2,0,8.96,0.085304,37,200,1X,true,0,0.32941176470588224,true
25,mammalian-sim,QR*,5,10,0,9.83,0.085628,37,200,1X,true,0,0.3223529411764705,true
26,mammalian-sim,QR*,6,10,0,9.44,0.0898,37,200,1X,true,0,0.3257352941176469,true
27,mammalian-sim,QR*,7,2,0,8.95,0.086872,37,200,1X,true,0,0.33220588235294085,true
28,mammalian-sim,QR*,8,2,0,9.43,0.084696,37,200,1X,true,0,0.33147058823529396,true
29,mammalian-sim,QR*,9,4,0,8.95,0.08394,37,200,1X,true,0,0.3366176470588234,true
30,mammalian-sim,QR*,10,2,0,9.43,0.084824,37,200,1X,true,0,0.3202941176470587,true
31,mammalian-sim,QR*,11,4,0,9.51,0.0856,37,200,1X,true,0,0.3358823529411762,true
32,mammalian-sim,QR*,12,6,0,10.01,0.084592,37,200,1X,true,0,0.3339705882352942,true
33,mammalian-sim,QR*,13,4,0,9.25,0.084528,37,200,1X,true,0,0.33470588235294096,true
34,mammalian-sim,QR*,14,2,0,23.7,0.085192,37,200,1X,true,0,0.3283823529411765,true
35,mammalian-sim,QR*,15,6,0,25.34,0.088868,37,200,1X,true,0,0.32352941176470573,true
36,mammalian-sim,QR*,16,2,0,24.62,0.085488,37,200,1X,true,0,0.327205882352941,true
37,mammalian-sim,QR*,17,2,0,24.99,0.092652,37,200,1X,true,0,0.3274999999999998,true
38,mammalian-sim,QR*,18,2,0,26.43,0.083984,37,200,1X,true,0,0.3285294117647055,true
39,mammalian-sim,QR*,19,4,0,24.76,0.083568,37,200,1X,true,0,0.329705882352941,true
