,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
0,mammalian-sim,QR,0,0,1,10.09,0.08578,37,200,1X,true,0,0.33352941176470574,true
1,mammalian-sim,QR,1,0,1,9.66,0.08532,37,200,1X,true,0,0.32441176470588245,true
2,mammalian-sim,QR,2,2,0,10.04,0.084668,37,200,1X,true,0,0.3360294117647058,true
3,mammalian-sim,QR,3,0,1,10.07,0.0841,37,200,1X,true,0,0.335,true
4,mammalian-sim,QR,4,0,1,10.68,0.08628,37,200,1X,true,0,0.32941176470588224,true
5,mammalian-sim,QR,5,0,1,10.05,0.085304,37,200,1X,true,0,0.3223529411764705,true
6,mammalian-sim,QR,6,0,1,10.52,0.086196,37,200,1X,true,0,0.3257352941176469,true
7,mammalian-sim,QR,7,2,0,12.15,0.083748,37,200,1X,true,0,0.33220588235294085,true
8,mammalian-sim,QR,8,2,0,9.63,0.086708,37,200,1X,true,0,0.33147058823529396,true
9,mammalian-sim,QR,9,2,0,10.42,0.084856,37,200,1X,true,0,0.3366176470588234,true
10,mammalian-sim,QR,10,0,1,12.23,0.08436,37,200,1X,true,0,0.3202941176470587,true
11,mammalian-sim,QR,11,0,1,10.17,0.084424,37,200,1X,true,0,0.3358823529411762,true
12,mammalian-sim,QR,12,2,0,9.78,0.084888,37,200,1X,true,0,0.3339705882352942,true
13,mammalian-sim,QR,13,0,1,10.21,0.0862,37,200,1X,true,0,0.33470588235294096,true
14,mammalian-sim,QR,14,12,0,10.06,0.084876,37,200,1X,true,0,0.3283823529411765,true
15,mammalian-sim,QR,15,0,1,26.09,0.085236,37,200,1X,true,0,0.32352941176470573,true
16,mammalian-sim,QR,16,0,1,26.41,0.085316,37,200,1X,true,0,0.327205882352941,true
17,mammalian-sim,QR,17,2,0,28.19,0.08462,37,200,1X,true,0,0.3274999999999998,true
18,mammalian-sim,QR,18,2,0,26.85,0.0849,37,200,1X,true,0,0.3285294117647055,true
19,mammalian-sim,QR,19,0,1,26.85,0.087576,37,200,1X,true,0,0.329705882352941,true
20,mammalian-sim,QR*,0,2,0,24.11,0.085152,37,200,1X,true,0,0.33352941176470574,true
21,mammalian-sim,QR*,1,2,0,25.58,0.085584,37,200,1X,true,0,0.32441176470588245,true
22,mammalian-sim,QR*,2,2,0,24.01,0.0849,37,200,1X,true,0,0.3360294117647058,true
23,mammalian-sim,QR*,3,0,1,23.04,0.088928,37,200,1X,true,0,0.335,true
24,mammalian-sim,QR*,4,2,0,8.89,0.084896,37,200,1X,true,0,0.32941176470588224,true
25,mammalian-sim,QR*,5,2,0,8.89,0.086156,37,200,1X,true,0,0.3223529411764705,true
26,mammalian-sim,QR*,6,2,0,9.96,0.085652,37,200,1X,true,0,0.3257352941176469,true
27,mammalian-sim,QR*,7,2,0,9.44,0.08786,37,200,1X,true,0,0.33220588235294085,true
28,mammalian-sim,QR*,8,2,0,8.62,0.084352,37,200,1X,true,0,0.33147058823529396,true
29,mammalian-sim,QR*,9,2,0,9.65,0.085212,37,200,1X,true,0,0.3366176470588234,true
30,mammalian-sim,QR*,10,2,0,8.78,0.084912,37,200,1X,true,0,0.3202941176470587,true
31,mammalian-sim,QR*,11,2,0,9.4,0.084704,37,200,1X,true,0,0.3358823529411762,true
32,mammalian-sim,QR*,12,2,0,8.8,0.084644,37,200,1X,true,0,0.3339705882352942,true
33,mammalian-sim,QR*,13,2,0,9.3,0.085336,37,200,1X,true,0,0.33470588235294096,true
34,mammalian-sim,QR*,14,2,0,8.81,0.08494,37,200,1X,true,0,0.3283823529411765,true
35,mammalian-sim,QR*,15,2,0,8.58,0.08528,37,200,1X,true,0,0.32352941176470573,true
36,mammalian-sim,QR*,16,2,0,23.28,0.085296,37,200,1X,true,0,0.327205882352941,true
